地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,娛樂稅稅源-實徵稅額(單位:元),舞場B(查),84634,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),電動玩具、小鋼珠A(申),349197,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),電動玩具、小鋼珠A(查),1495311,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),娃娃機B(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),娃娃機B(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),其　他C(電子遊戲機6)(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),其　他C(電子遊戲機6)(查),61045,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)投幣式A(申),5,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)投幣式A(查),248,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),KTV(卡拉ok)投幣式A(申),6656511,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)投幣式A(申),310823,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),KTV(卡拉ok)投幣式A(查),6778674,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)投幣式A(查),310154,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)非投幣式B(申),17,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)非投幣式B(查),277,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),KTV(卡拉ok)非投幣式B(申),20330101,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)非投幣式B(申),1000007,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),KTV(卡拉ok)非投幣式B(查),24491840,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),"MTV C(申)",,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)非投幣式B(查),1125746,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),"MTV C(查)",2,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),"MTV C(申)",,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),"MTV C(查)",230998,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),"MTV C(申)",,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),"MTV C(查)",10500,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),其　他D(視聽視唱業8)(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),其　他D(視聽視唱業8)(查),1,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),其　他D(視聽視唱業8)(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),其　他D(視聽視唱業8)(查),38500,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),其　他D(視聽視唱業8)(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),其　他D(視聽視唱業8)(查),1750,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),資訊休閒業A(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),資訊休閒業A(查),47,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),資訊休閒業A(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),資訊休閒業A(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),資訊休閒業A(查),7639875,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),資訊休閒業A(查),323119,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),電動搖搖馬B(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),電動搖搖馬B(查),111,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),電動搖搖馬B(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),電動搖搖馬B(查),1372110,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),電動搖搖馬B(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),電動搖搖馬B(查),63104,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),具娛樂性之選物販賣機C(申),1,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),具娛樂性之選物販賣機C(查),1612,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),具娛樂性之選物販賣機C(申),7380,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),具娛樂性之選物販賣機C(申),335,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),具娛樂性之選物販賣機C(查),113905812,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),具娛樂性之選物販賣機C(查),5200824,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊藝樂園D(申),5,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊藝樂園D(查),2,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),機動遊藝樂園D(申),33231435,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),機動遊藝樂園D(查),428610,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊藝樂園D(申),1631160,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊藝樂園D(查),20410,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊艇、動力飛行器E(申),1,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊艇、動力飛行器E(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),機動遊艇、動力飛行器E(申),171400,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊艇、動力飛行器E(申),3986,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),機動遊艇、動力飛行器E(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),實境體感娛樂設施F(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊艇、動力飛行器E(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),實境體感娛樂設施F(查),3,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),實境體感娛樂設施F(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),實境體感娛樂設施F(查),162384,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),實境體感娛樂設施F(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),實境體感娛樂設施F(查),7608,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),KTV(卡拉ok)投幣式A(申),310823,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),KTV(卡拉ok)投幣式A(查),306492,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),KTV(卡拉ok)非投幣式B(申),1000007,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),KTV(卡拉ok)非投幣式B(查),1181068,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),"MTV C(申)",,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),"MTV C(查)",10500,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),其　他D(視聽視唱業8)(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),其　他D(視聽視唱業8)(查),3500,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),資訊休閒業A(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),資訊休閒業A(查),337887,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),電動搖搖馬B(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),電動搖搖馬B(查),63640,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),具娛樂性之選物販賣機C(申),335,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),具娛樂性之選物販賣機C(查),5264372,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),機動遊藝樂園D(申),1631160,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),機動遊藝樂園D(查),18810,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),機動遊艇、動力飛行器E(申),3986,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),機動遊艇、動力飛行器E(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),實境體感娛樂設施F(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),實境體感娛樂設施F(查),5016,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),職業性歌唱、舞蹈、馬戲、魔術、技術表演及夜總會之各種表演A,327677,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),說書、戲劇、音樂演奏及非職業性歌唱、舞蹈等表演B,22057,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),職業性歌唱、舞蹈、馬戲、魔術、技術表演及夜總會之各種表演A,99506,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),各種競技比賽C,,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),說書、戲劇、音樂演奏及非職業性歌唱、舞蹈等表演B,19354,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),各種競技比賽C,,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),本國片繁榮地區(查),2,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),本國片偏僻地區(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),本國片郊區C(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),外國片繁榮地區(查)),4,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),外國片偏僻地區(查),1,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),外國片郊區F(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),國洋片混片G(查),1,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),其他H(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),歌廳1(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),撞球場2(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),球場A(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),舞廳A(查),7,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),電動玩具、小鋼珠A(查),150,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),娃娃機B(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),其　他C(電子遊戲機6)(查),12,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),本國片繁榮地區(查),1326925,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-營業總額(單位:元),本國片偏僻地區(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
